week_start,country,rank,title,appid,url,price_info,rank_change,extra
2026-08-25,JP,17,"ウマ娘 プリティーダービー
(not available in your region)",3564400,https://store.steampowered.com/app/3564400/%E3%82%A6%E3%83%9E%E5%A8%98_%E3%83%97%E3%83%AA%E3%83%86%E3%82%A3%E3%83%BC%E3%83%80%E3%83%BC%E3%83%93%E3%83%BC?snr=1_7001_7002_,,▼ 4,3
2026-08-25,JP,18,Crimson Desert Enhanced,3321460,https://store.steampowered.com/app/3321460/Crimson_Desert_Enhanced?snr=1_7001_7002_,"-20%
$69.99
$55.99",RETURNING,1
2026-08-25,JP,19,Overwatch®,2357570,https://store.steampowered.com/app/2357570/Overwatch?snr=1_7001_7002_,Free To Play,▼ 4,34
2026-08-25,JP,20,Zenless Zone Zero,4162040,https://store.steampowered.com/app/4162040/Zenless_Zone_Zero?snr=1_7001_7002_,Free To Play,▼ 11,11
2026-08-25,JP,21,Counter-Strike 2,730,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_7001_7002_,Free To Play,▼ 4,191
2026-08-25,JP,22,ELDEN RING Tarnished Pack,3655690,https://store.steampowered.com/app/3655690/ELDEN_RING_Tarnished_Pack?snr=1_7001_7002_,$4.99,NEW,1
2026-08-25,JP,23,Palworld,1623730,https://store.steampowered.com/app/1623730/Palworld?snr=1_7001_7002_,"-30%
$29.99
$20.99",▲ 7,10
2026-08-25,JP,24,Wuthering Waves,3513350,https://store.steampowered.com/app/3513350/Wuthering_Waves?snr=1_7001_7002_,Free To Play,▼ 18,70
2026-08-25,JP,25,Forza Horizon 6,2483190,https://store.steampowered.com/app/2483190/Forza_Horizon_6?snr=1_7001_7002_,"-15%
$69.99
$59.49",▲ 33,28
2026-08-25,JP,26,Aliens: Fireteam Elite 2,3448650,https://store.steampowered.com/app/3448650/Aliens_Fireteam_Elite_2?snr=1_7001_7002_,$49.99,NEW,1
2026-08-25,JP,27,JR EAST Train Simulator,2111630,https://store.steampowered.com/app/2111630/JR_EAST_Train_Simulator?snr=1_7001_7002_,$22.99,▲ 23,6
2026-08-25,JP,28,Yu-Gi-Oh! Master Duel,1449850,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel?snr=1_7001_7002_,Free To Play,▼ 16,241
2026-08-25,JP,29,Village in the Shade,3934250,https://store.steampowered.com/app/3934250/Village_in_the_Shade?snr=1_7001_7002_,$49.99,▼ 13,5
2026-08-25,JP,30,Street Fighter™ 6,1364780,https://store.steampowered.com/app/1364780/Street_Fighter_6?snr=1_7001_7002_,$39.99,▼ 10,179
2026-08-25,JP,31,VRChat,438100,https://store.steampowered.com/app/438100/VRChat?snr=1_7001_7002_,Free To Play,▼ 10,88
2026-08-25,JP,32,Big Walk,1478500,https://store.steampowered.com/app/1478500/Big_Walk?snr=1_7001_7002_,$19.99,▼ 21,4
2026-08-25,JP,33,"GIRLS' FRONTLINE 2: EXILIUM
(not available in your region)",3308670,https://store.steampowered.com/app/3308670/GIRLS_FRONTLINE_2_EXILIUM?snr=1_7001_7002_,,RETURNING,1
2026-08-25,JP,34,ACE COMBAT 8: WINGS OF THEVE,2288340,https://store.steampowered.com/app/2288340/ACE_COMBAT_8_WINGS_OF_THEVE?snr=1_7001_7002_,"Prepurchase
$69.99",▲ 4,13
2026-08-25,JP,35,Starward,2764370,https://store.steampowered.com/app/2764370/Starward?snr=1_7001_7002_,Free To Play,▼ 30,121
2026-08-25,JP,36,METAL GEAR SOLID: Peace Walker - Master Collection Version,2492660,https://store.steampowered.com/app/2492660/METAL_GEAR_SOLID_Peace_Walker_Master_Collection_Version?snr=1_7001_7002_,$19.99,NEW,1
2026-08-25,JP,37,Once Human,2139460,https://store.steampowered.com/app/2139460/Once_Human?snr=1_7001_7002_,Free To Play,▲ 37,8
2026-08-25,JP,38,NBA 2K27,4356430,https://store.steampowered.com/app/4356430/NBA_2K27?snr=1_7001_7002_,"Prepurchase
$69.99",NEW,1
2026-08-25,JP,39,eFootball™,1665460,https://store.steampowered.com/app/1665460/eFootball?snr=1_7001_7002_,Free To Play,▼ 20,76
2026-08-25,JP,40,Heartopia,4025700,https://store.steampowered.com/app/4025700/Heartopia?snr=1_7001_7002_,Free To Play,▼ 11,8
2026-08-25,JP,41,EA SPORTS FC™ 27,4080220,https://store.steampowered.com/app/4080220/EA_SPORTS_FC_27?snr=1_7001_7002_,"Prepurchase
$69.99",NEW,1
2026-08-25,JP,42,CAPTAIN TSUBASA 2: WORLD FIGHTERS,2172910,https://store.steampowered.com/app/2172910/CAPTAIN_TSUBASA_2_WORLD_FIGHTERS?snr=1_7001_7002_,$59.99,NEW,1
2026-08-25,JP,43,MOBILE SUIT GUNDAM BATTLE OPERATION 2,1367080,https://store.steampowered.com/app/1367080/MOBILE_SUIT_GUNDAM_BATTLE_OPERATION_2?snr=1_7001_7002_,Free To Play,▲ 56,2
2026-08-25,JP,44,Grand Theft Auto V Enhanced,3240220,https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced?snr=1_7001_7002_,"-56%
$44.99
$19.79",▲ 44,59
2026-08-25,JP,45,"DEAD OR ALIVE Xtreme Venus Vacation
(not available in your region)",1361350,https://store.steampowered.com/app/1361350/DEAD_OR_ALIVE_Xtreme_Venus_Vacation?snr=1_7001_7002_,,▼ 11,47
2026-08-25,JP,46,Dragon's Dogma 2,2054970,https://store.steampowered.com/app/2054970/Dragons_Dogma_2?snr=1_7001_7002_,"-25%
$39.99
$29.99",RETURNING,1
2026-08-25,JP,47,Garden of Witches,2530470,https://store.steampowered.com/app/2530470/Garden_of_Witches?snr=1_7001_7002_,"-30%
$18.99
$13.29",RETURNING,1
2026-08-25,JP,48,Shadow Dungeon,4423580,https://store.steampowered.com/app/4423580/Shadow_Dungeon?snr=1_7001_7002_,"-10%
$9.99
$8.99",NEW,1
2026-08-25,JP,49,ELDEN RING NIGHTREIGN,2622380,https://store.steampowered.com/app/2622380/ELDEN_RING_NIGHTREIGN?snr=1_7001_7002_,$39.99,▼ 4,72
2026-08-25,JP,50,ARK: Lost Colony Expansion Pass,3720100,https://store.steampowered.com/app/3720100/ARK_Lost_Colony_Expansion_Pass?snr=1_7001_7002_,"-50%
$29.99
$14.99",RETURNING,1
2026-08-25,JP,51,Dead by Daylight: Chorus of Sin,5060920,https://store.steampowered.com/app/5060920/Dead_by_Daylight_Chorus_of_Sin?snr=1_7001_7002_,$7.99,NEW,1
2026-08-25,JP,52,7 Days to Die,251570,https://store.steampowered.com/app/251570/7_Days_to_Die?snr=1_7001_7002_,"-45%
$44.99
$24.74",▲ 1,10
2026-08-25,JP,53,Rust,252490,https://store.steampowered.com/app/252490/Rust?snr=1_7001_7002_,$39.99,▼ 17,236
2026-08-25,JP,54,METAL GEAR SOLID 4: Guns of the Patriots - Master Collection Version,2492670,https://store.steampowered.com/app/2492670/METAL_GEAR_SOLID_4_Guns_of_the_Patriots_Master_Collection_Version?snr=1_7001_7002_,$29.99,NEW,1
